"id","true","output"
"63","3:DNA","3:DNA"
"64","7:Prognosi","10:Tomogra"
"65","10:Tomogra","9:Risk-Fac"
"66","8:Receptor","8:Receptor"
"67","6:Pregnanc","7:Prognosi"
"68","9:Risk-Fac","10:Tomogra"
"69","3:DNA","5:Molecula"
"70","1:Antibodi","5:Molecula"
"71","7:Prognosi","6:Pregnanc"
"72","9:Risk-Fac","9:Risk-Fac"
"73","1:Antibodi","4:In-Vitro"
"74","8:Receptor","8:Receptor"
"75","7:Prognosi","6:Pregnanc"
"76","3:DNA","5:Molecula"
"77","4:In-Vitro","1:Antibodi"
"78","10:Tomogra","10:Tomogra"
"79","1:Antibodi","1:Antibodi"
"80","6:Pregnanc","6:Pregnanc"
"81","9:Risk-Fac","9:Risk-Fac"
"82","7:Prognosi","7:Prognosi"
"83","7:Prognosi","6:Pregnanc"
"84","8:Receptor","3:DNA"
"85","3:DNA","8:Receptor"
"86","9:Risk-Fac","9:Risk-Fac"
"87","6:Pregnanc","6:Pregnanc"
"88","7:Prognosi","7:Prognosi"
"89","5:Molecula","3:DNA"
"90","3:DNA","3:DNA"
"91","10:Tomogra","6:Pregnanc"
"92","8:Receptor","4:In-Vitro"
"93","10:Tomogra","10:Tomogra"
"94","3:DNA","3:DNA"
"95","8:Receptor","1:Antibodi"
"96","8:Receptor","8:Receptor"
"97","6:Pregnanc","6:Pregnanc"
"98","6:Pregnanc","7:Prognosi"
"99","10:Tomogra","2:Carcinom"
"100","9:Risk-Fac","9:Risk-Fac"
"101","10:Tomogra","10:Tomogra"
"102","8:Receptor","8:Receptor"
"103","1:Antibodi","3:DNA"
"104","5:Molecula","5:Molecula"
"105","4:In-Vitro","4:In-Vitro"
"106","4:In-Vitro","4:In-Vitro"
"107","10:Tomogra","2:Carcinom"
"108","7:Prognosi","10:Tomogra"
"109","1:Antibodi","1:Antibodi"
"110","7:Prognosi","7:Prognosi"
"111","4:In-Vitro","4:In-Vitro"
"112","2:Carcinom","7:Prognosi"
"113","7:Prognosi","10:Tomogra"
"114","9:Risk-Fac","7:Prognosi"
"115","2:Carcinom","2:Carcinom"
"116","3:DNA","1:Antibodi"
"117","6:Pregnanc","7:Prognosi"
"118","6:Pregnanc","10:Tomogra"
"119","8:Receptor","1:Antibodi"
"120","1:Antibodi","1:Antibodi"
"121","5:Molecula","5:Molecula"
"122","6:Pregnanc","8:Receptor"
"123","3:DNA","1:Antibodi"
"124","6:Pregnanc","6:Pregnanc"
"125","5:Molecula","5:Molecula"
"126","3:DNA","3:DNA"
"127","4:In-Vitro","10:Tomogra"
"128","3:DNA","1:Antibodi"
"129","5:Molecula","5:Molecula"
"130","8:Receptor","4:In-Vitro"
"131","6:Pregnanc","8:Receptor"
"132","4:In-Vitro","4:In-Vitro"
"133","3:DNA","8:Receptor"
"134","9:Risk-Fac","9:Risk-Fac"
"135","9:Risk-Fac","9:Risk-Fac"
"136","6:Pregnanc","6:Pregnanc"
"137","4:In-Vitro","8:Receptor"
"138","9:Risk-Fac","9:Risk-Fac"
"139","1:Antibodi","1:Antibodi"
"140","4:In-Vitro","4:In-Vitro"
"141","7:Prognosi","6:Pregnanc"
"142","10:Tomogra","10:Tomogra"
"143","10:Tomogra","10:Tomogra"
"144","5:Molecula","5:Molecula"
"145","4:In-Vitro","4:In-Vitro"
"146","4:In-Vitro","4:In-Vitro"
"147","8:Receptor","4:In-Vitro"
"148","6:Pregnanc","9:Risk-Fac"
"149","6:Pregnanc","6:Pregnanc"
"150","1:Antibodi","4:In-Vitro"
"151","4:In-Vitro","10:Tomogra"
"152","6:Pregnanc","6:Pregnanc"
"153","7:Prognosi","7:Prognosi"
"154","8:Receptor","8:Receptor"
"155","1:Antibodi","3:DNA"
"156","4:In-Vitro","8:Receptor"
"157","2:Carcinom","2:Carcinom"
"158","7:Prognosi","9:Risk-Fac"
"159","6:Pregnanc","6:Pregnanc"
"160","1:Antibodi","8:Receptor"
"161","8:Receptor","8:Receptor"
"162","2:Carcinom","2:Carcinom"
"163","6:Pregnanc","6:Pregnanc"
"164","3:DNA","8:Receptor"
"165","6:Pregnanc","2:Carcinom"
"166","9:Risk-Fac","7:Prognosi"
"167","1:Antibodi","9:Risk-Fac"
"168","8:Receptor","4:In-Vitro"
"169","2:Carcinom","2:Carcinom"
"170","4:In-Vitro","4:In-Vitro"
"171","1:Antibodi","1:Antibodi"
"172","9:Risk-Fac","9:Risk-Fac"
"173","10:Tomogra","10:Tomogra"
"174","6:Pregnanc","6:Pregnanc"
"175","9:Risk-Fac","8:Receptor"
"176","6:Pregnanc","6:Pregnanc"
"177","6:Pregnanc","6:Pregnanc"
"178","3:DNA","8:Receptor"
"179","8:Receptor","8:Receptor"
"180","9:Risk-Fac","9:Risk-Fac"
"181","1:Antibodi","1:Antibodi"
"182","3:DNA","3:DNA"
"183","1:Antibodi","6:Pregnanc"
"184","6:Pregnanc","6:Pregnanc"
"185","5:Molecula","3:DNA"
"186","1:Antibodi","1:Antibodi"
"187","3:DNA","5:Molecula"
"188","9:Risk-Fac","9:Risk-Fac"
"189","4:In-Vitro","4:In-Vitro"
"190","5:Molecula","8:Receptor"
"191","10:Tomogra","10:Tomogra"
"192","5:Molecula","5:Molecula"
"193","6:Pregnanc","8:Receptor"
"194","6:Pregnanc","6:Pregnanc"
"195","10:Tomogra","7:Prognosi"
"196","6:Pregnanc","10:Tomogra"
"197","1:Antibodi","2:Carcinom"
"198","5:Molecula","3:DNA"
"199","6:Pregnanc","6:Pregnanc"
"200","5:Molecula","3:DNA"
"201","10:Tomogra","10:Tomogra"
"202","6:Pregnanc","6:Pregnanc"
"203","9:Risk-Fac","9:Risk-Fac"
"204","9:Risk-Fac","7:Prognosi"
"205","10:Tomogra","10:Tomogra"
"206","4:In-Vitro","4:In-Vitro"
"207","8:Receptor","8:Receptor"
"208","3:DNA","2:Carcinom"
"209","9:Risk-Fac","9:Risk-Fac"
"210","1:Antibodi","1:Antibodi"
"211","6:Pregnanc","6:Pregnanc"
"212","8:Receptor","8:Receptor"
"213","1:Antibodi","1:Antibodi"
"214","8:Receptor","8:Receptor"
"215","10:Tomogra","10:Tomogra"
"216","5:Molecula","4:In-Vitro"
"217","9:Risk-Fac","2:Carcinom"
"218","5:Molecula","5:Molecula"
"219","9:Risk-Fac","7:Prognosi"
"220","1:Antibodi","1:Antibodi"
"221","6:Pregnanc","6:Pregnanc"
"222","2:Carcinom","2:Carcinom"
"223","8:Receptor","8:Receptor"
"224","2:Carcinom","7:Prognosi"
"225","8:Receptor","8:Receptor"
"226","4:In-Vitro","4:In-Vitro"
"227","8:Receptor","1:Antibodi"
"228","4:In-Vitro","4:In-Vitro"
"229","7:Prognosi","8:Receptor"
"230","5:Molecula","5:Molecula"
"231","8:Receptor","8:Receptor"
"232","4:In-Vitro","8:Receptor"
"233","7:Prognosi","7:Prognosi"
"234","7:Prognosi","6:Pregnanc"
"235","9:Risk-Fac","9:Risk-Fac"
"236","9:Risk-Fac","9:Risk-Fac"
"237","3:DNA","4:In-Vitro"
"238","1:Antibodi","3:DNA"
"239","4:In-Vitro","4:In-Vitro"
"240","8:Receptor","4:In-Vitro"
"241","6:Pregnanc","8:Receptor"
"242","8:Receptor","8:Receptor"
"243","10:Tomogra","7:Prognosi"
"244","9:Risk-Fac","2:Carcinom"
"245","2:Carcinom","2:Carcinom"
"246","2:Carcinom","2:Carcinom"
"247","7:Prognosi","7:Prognosi"
"248","1:Antibodi","6:Pregnanc"
"249","10:Tomogra","10:Tomogra"
"250","3:DNA","9:Risk-Fac"
"251","5:Molecula","1:Antibodi"
"252","2:Carcinom","2:Carcinom"
"253","10:Tomogra","7:Prognosi"
"254","8:Receptor","8:Receptor"
"255","8:Receptor","8:Receptor"
"256","7:Prognosi","9:Risk-Fac"
"257","3:DNA","5:Molecula"
"258","5:Molecula","5:Molecula"
"259","6:Pregnanc","4:In-Vitro"
"260","1:Antibodi","7:Prognosi"
"261","10:Tomogra","9:Risk-Fac"
"262","7:Prognosi","7:Prognosi"
"263","5:Molecula","5:Molecula"
"264","2:Carcinom","2:Carcinom"
"265","5:Molecula","5:Molecula"
"266","6:Pregnanc","6:Pregnanc"
"267","9:Risk-Fac","6:Pregnanc"
"268","8:Receptor","3:DNA"
"269","5:Molecula","5:Molecula"
"270","1:Antibodi","4:In-Vitro"
"271","10:Tomogra","2:Carcinom"
"272","6:Pregnanc","1:Antibodi"
"273","7:Prognosi","7:Prognosi"
"274","4:In-Vitro","8:Receptor"
"275","1:Antibodi","4:In-Vitro"
"276","4:In-Vitro","6:Pregnanc"
"277","1:Antibodi","1:Antibodi"
"278","8:Receptor","8:Receptor"
"279","10:Tomogra","9:Risk-Fac"
"280","10:Tomogra","10:Tomogra"
"281","5:Molecula","5:Molecula"
"282","9:Risk-Fac","9:Risk-Fac"
"283","10:Tomogra","10:Tomogra"
"284","1:Antibodi","1:Antibodi"
"285","8:Receptor","8:Receptor"
"286","10:Tomogra","10:Tomogra"
"287","8:Receptor","8:Receptor"
"288","10:Tomogra","10:Tomogra"
"289","6:Pregnanc","6:Pregnanc"
"290","6:Pregnanc","6:Pregnanc"
"291","6:Pregnanc","6:Pregnanc"
"292","9:Risk-Fac","9:Risk-Fac"
"293","4:In-Vitro","1:Antibodi"
"294","2:Carcinom","10:Tomogra"
"295","3:DNA","8:Receptor"
"296","1:Antibodi","1:Antibodi"
"297","3:DNA","3:DNA"
"298","8:Receptor","4:In-Vitro"
"299","10:Tomogra","7:Prognosi"
"300","1:Antibodi","1:Antibodi"
"301","8:Receptor","4:In-Vitro"
"302","9:Risk-Fac","1:Antibodi"
"303","4:In-Vitro","4:In-Vitro"
"304","4:In-Vitro","4:In-Vitro"
"305","10:Tomogra","9:Risk-Fac"
"306","10:Tomogra","10:Tomogra"
"307","1:Antibodi","4:In-Vitro"
"308","4:In-Vitro","3:DNA"
"309","4:In-Vitro","4:In-Vitro"
"310","9:Risk-Fac","9:Risk-Fac"
"311","2:Carcinom","2:Carcinom"
"312","7:Prognosi","6:Pregnanc"
"313","6:Pregnanc","6:Pregnanc"
"314","9:Risk-Fac","9:Risk-Fac"
"315","10:Tomogra","10:Tomogra"
"316","5:Molecula","3:DNA"
"317","6:Pregnanc","9:Risk-Fac"
"318","6:Pregnanc","6:Pregnanc"
"319","6:Pregnanc","6:Pregnanc"
"320","8:Receptor","8:Receptor"
"321","10:Tomogra","9:Risk-Fac"
"322","1:Antibodi","4:In-Vitro"
"323","10:Tomogra","10:Tomogra"
"324","5:Molecula","5:Molecula"
"325","2:Carcinom","2:Carcinom"
"326","10:Tomogra","10:Tomogra"
"327","10:Tomogra","6:Pregnanc"
"328","6:Pregnanc","10:Tomogra"
"329","10:Tomogra","10:Tomogra"
"330","10:Tomogra","9:Risk-Fac"
"331","4:In-Vitro","4:In-Vitro"
"332","8:Receptor","8:Receptor"
"333","6:Pregnanc","1:Antibodi"
"334","9:Risk-Fac","7:Prognosi"
"335","10:Tomogra","10:Tomogra"
"336","2:Carcinom","2:Carcinom"
"337","10:Tomogra","2:Carcinom"
"338","1:Antibodi","4:In-Vitro"
"339","8:Receptor","8:Receptor"
"340","5:Molecula","3:DNA"
"341","1:Antibodi","8:Receptor"
"342","8:Receptor","2:Carcinom"
"343","4:In-Vitro","5:Molecula"
"344","10:Tomogra","10:Tomogra"
"345","3:DNA","5:Molecula"
"346","5:Molecula","1:Antibodi"
"347","10:Tomogra","10:Tomogra"
"348","6:Pregnanc","8:Receptor"
"349","5:Molecula","8:Receptor"
"350","9:Risk-Fac","9:Risk-Fac"
"351","8:Receptor","1:Antibodi"
"352","1:Antibodi","3:DNA"
"353","4:In-Vitro","6:Pregnanc"
"354","8:Receptor","1:Antibodi"
"355","1:Antibodi","7:Prognosi"
"356","6:Pregnanc","3:DNA"
"357","6:Pregnanc","6:Pregnanc"
"358","8:Receptor","4:In-Vitro"
"359","4:In-Vitro","8:Receptor"
"360","9:Risk-Fac","4:In-Vitro"
"361","4:In-Vitro","4:In-Vitro"
"362","7:Prognosi","7:Prognosi"
"363","6:Pregnanc","6:Pregnanc"
"364","7:Prognosi","7:Prognosi"
"365","3:DNA","5:Molecula"
"366","1:Antibodi","8:Receptor"
"367","6:Pregnanc","9:Risk-Fac"
"368","5:Molecula","5:Molecula"
"369","5:Molecula","5:Molecula"
"370","1:Antibodi","8:Receptor"
"371","9:Risk-Fac","9:Risk-Fac"
"372","6:Pregnanc","6:Pregnanc"
"373","7:Prognosi","2:Carcinom"
"374","5:Molecula","4:In-Vitro"
"375","1:Antibodi","1:Antibodi"
"376","9:Risk-Fac","6:Pregnanc"
"377","6:Pregnanc","6:Pregnanc"
"378","3:DNA","5:Molecula"
"379","7:Prognosi","7:Prognosi"
"380","2:Carcinom","10:Tomogra"
"381","2:Carcinom","7:Prognosi"
"382","6:Pregnanc","6:Pregnanc"
"383","10:Tomogra","10:Tomogra"
"384","7:Prognosi","7:Prognosi"
"385","6:Pregnanc","6:Pregnanc"
"386","10:Tomogra","10:Tomogra"
"387","5:Molecula","3:DNA"
"388","8:Receptor","8:Receptor"
"389","8:Receptor","4:In-Vitro"
"390","8:Receptor","3:DNA"
"391","9:Risk-Fac","6:Pregnanc"
"392","5:Molecula","5:Molecula"
"393","6:Pregnanc","6:Pregnanc"
"394","8:Receptor","8:Receptor"
"395","1:Antibodi","1:Antibodi"
"396","1:Antibodi","1:Antibodi"
"397","9:Risk-Fac","9:Risk-Fac"
"398","3:DNA","3:DNA"
"399","1:Antibodi","8:Receptor"
"400","6:Pregnanc","9:Risk-Fac"
"401","10:Tomogra","4:In-Vitro"
"402","1:Antibodi","1:Antibodi"
"403","8:Receptor","8:Receptor"
"404","6:Pregnanc","6:Pregnanc"
"405","9:Risk-Fac","9:Risk-Fac"
"406","1:Antibodi","1:Antibodi"
"407","8:Receptor","7:Prognosi"
"408","7:Prognosi","7:Prognosi"
"409","9:Risk-Fac","6:Pregnanc"
"410","1:Antibodi","1:Antibodi"
"411","10:Tomogra","3:DNA"
"412","7:Prognosi","2:Carcinom"
"413","4:In-Vitro","4:In-Vitro"
"414","4:In-Vitro","4:In-Vitro"
"415","9:Risk-Fac","10:Tomogra"
"416","3:DNA","5:Molecula"
"417","8:Receptor","4:In-Vitro"
"418","1:Antibodi","9:Risk-Fac"
"419","2:Carcinom","2:Carcinom"
"420","10:Tomogra","3:DNA"
"421","1:Antibodi","1:Antibodi"
"422","3:DNA","5:Molecula"
"423","1:Antibodi","1:Antibodi"
"424","5:Molecula","8:Receptor"
"425","5:Molecula","5:Molecula"
"426","3:DNA","6:Pregnanc"
"427","1:Antibodi","2:Carcinom"
"428","8:Receptor","8:Receptor"
"429","8:Receptor","8:Receptor"
"430","6:Pregnanc","6:Pregnanc"
"431","8:Receptor","8:Receptor"
"432","9:Risk-Fac","9:Risk-Fac"
"433","5:Molecula","5:Molecula"
"434","9:Risk-Fac","9:Risk-Fac"
"435","8:Receptor","5:Molecula"
"436","7:Prognosi","7:Prognosi"
"437","9:Risk-Fac","7:Prognosi"
"438","8:Receptor","8:Receptor"
"439","3:DNA","3:DNA"
"440","9:Risk-Fac","6:Pregnanc"
"441","7:Prognosi","1:Antibodi"
"442","9:Risk-Fac","9:Risk-Fac"
"443","6:Pregnanc","3:DNA"
"444","10:Tomogra","10:Tomogra"
"445","9:Risk-Fac","9:Risk-Fac"
"446","7:Prognosi","7:Prognosi"
"447","5:Molecula","5:Molecula"
"448","2:Carcinom","10:Tomogra"
"449","1:Antibodi","9:Risk-Fac"
"450","4:In-Vitro","8:Receptor"
"451","4:In-Vitro","8:Receptor"
"452","1:Antibodi","1:Antibodi"
"453","9:Risk-Fac","9:Risk-Fac"
"454","8:Receptor","8:Receptor"
"455","7:Prognosi","10:Tomogra"
"456","3:DNA","3:DNA"
"457","1:Antibodi","1:Antibodi"
"458","3:DNA","3:DNA"
"459","8:Receptor","8:Receptor"
"460","8:Receptor","4:In-Vitro"
"461","8:Receptor","6:Pregnanc"
"462","4:In-Vitro","1:Antibodi"
"463","6:Pregnanc","9:Risk-Fac"
"464","9:Risk-Fac","6:Pregnanc"
"465","6:Pregnanc","10:Tomogra"
"466","7:Prognosi","7:Prognosi"
"467","10:Tomogra","3:DNA"
"468","7:Prognosi","8:Receptor"
"469","10:Tomogra","6:Pregnanc"
"470","6:Pregnanc","6:Pregnanc"
"471","8:Receptor","3:DNA"
"472","10:Tomogra","9:Risk-Fac"
"473","2:Carcinom","2:Carcinom"
"474","2:Carcinom","7:Prognosi"
"475","8:Receptor","4:In-Vitro"
"476","10:Tomogra","8:Receptor"
"477","6:Pregnanc","6:Pregnanc"
"478","5:Molecula","8:Receptor"
"479","3:DNA","1:Antibodi"
"480","9:Risk-Fac","9:Risk-Fac"
"481","9:Risk-Fac","9:Risk-Fac"
"482","9:Risk-Fac","9:Risk-Fac"
"483","9:Risk-Fac","2:Carcinom"
"484","7:Prognosi","7:Prognosi"
"485","1:Antibodi","1:Antibodi"
"486","5:Molecula","5:Molecula"
"487","9:Risk-Fac","2:Carcinom"
"488","3:DNA","6:Pregnanc"
"489","9:Risk-Fac","9:Risk-Fac"
"490","10:Tomogra","10:Tomogra"
"491","9:Risk-Fac","9:Risk-Fac"
"492","9:Risk-Fac","9:Risk-Fac"
"493","3:DNA","5:Molecula"
"494","9:Risk-Fac","7:Prognosi"
"495","10:Tomogra","9:Risk-Fac"
"496","6:Pregnanc","6:Pregnanc"
"497","6:Pregnanc","10:Tomogra"
"498","5:Molecula","5:Molecula"
"499","6:Pregnanc","9:Risk-Fac"
"500","8:Receptor","8:Receptor"
"501","6:Pregnanc","10:Tomogra"
"502","1:Antibodi","1:Antibodi"
"503","6:Pregnanc","6:Pregnanc"
"504","6:Pregnanc","6:Pregnanc"
"505","4:In-Vitro","4:In-Vitro"
"506","7:Prognosi","9:Risk-Fac"
"507","8:Receptor","8:Receptor"
"508","3:DNA","4:In-Vitro"
"509","9:Risk-Fac","9:Risk-Fac"
"510","6:Pregnanc","6:Pregnanc"
"511","4:In-Vitro","1:Antibodi"
"512","8:Receptor","8:Receptor"
"513","10:Tomogra","10:Tomogra"
"514","1:Antibodi","8:Receptor"
"515","10:Tomogra","10:Tomogra"
"516","9:Risk-Fac","9:Risk-Fac"
"517","7:Prognosi","9:Risk-Fac"
"518","7:Prognosi","7:Prognosi"
"519","4:In-Vitro","8:Receptor"
"520","4:In-Vitro","8:Receptor"
"521","1:Antibodi","5:Molecula"
"522","5:Molecula","5:Molecula"
"523","9:Risk-Fac","2:Carcinom"
"524","7:Prognosi","10:Tomogra"
"525","7:Prognosi","9:Risk-Fac"
"526","3:DNA","2:Carcinom"
"527","3:DNA","9:Risk-Fac"
"528","7:Prognosi","7:Prognosi"
"529","2:Carcinom","2:Carcinom"
"530","8:Receptor","1:Antibodi"
"531","1:Antibodi","3:DNA"
"532","9:Risk-Fac","9:Risk-Fac"
"533","5:Molecula","8:Receptor"
"534","3:DNA","3:DNA"
"535","6:Pregnanc","8:Receptor"
"536","1:Antibodi","1:Antibodi"
"537","8:Receptor","3:DNA"
"538","8:Receptor","1:Antibodi"
"539","4:In-Vitro","4:In-Vitro"
"540","10:Tomogra","10:Tomogra"
"541","1:Antibodi","1:Antibodi"
"542","1:Antibodi","8:Receptor"
"543","10:Tomogra","6:Pregnanc"
"544","3:DNA","3:DNA"
"545","9:Risk-Fac","9:Risk-Fac"
"546","6:Pregnanc","8:Receptor"
"547","1:Antibodi","1:Antibodi"
"548","10:Tomogra","10:Tomogra"
"549","8:Receptor","5:Molecula"
"550","10:Tomogra","10:Tomogra"
"551","6:Pregnanc","6:Pregnanc"
"552","9:Risk-Fac","9:Risk-Fac"
"553","5:Molecula","5:Molecula"
"554","4:In-Vitro","1:Antibodi"
"555","5:Molecula","5:Molecula"
"556","8:Receptor","8:Receptor"
"557","4:In-Vitro","4:In-Vitro"
"558","8:Receptor","8:Receptor"
"559","7:Prognosi","1:Antibodi"
"560","8:Receptor","8:Receptor"
"561","8:Receptor","4:In-Vitro"
"562","10:Tomogra","3:DNA"
"563","9:Risk-Fac","9:Risk-Fac"
"564","10:Tomogra","4:In-Vitro"
"565","8:Receptor","8:Receptor"
"566","8:Receptor","3:DNA"
"567","9:Risk-Fac","9:Risk-Fac"
"568","10:Tomogra","10:Tomogra"
"569","3:DNA","3:DNA"
"570","5:Molecula","3:DNA"
"571","4:In-Vitro","4:In-Vitro"
"572","6:Pregnanc","6:Pregnanc"
"573","4:In-Vitro","1:Antibodi"
"574","6:Pregnanc","9:Risk-Fac"
"575","1:Antibodi","1:Antibodi"
"576","2:Carcinom","2:Carcinom"
"577","10:Tomogra","7:Prognosi"
"578","10:Tomogra","7:Prognosi"
"579","1:Antibodi","1:Antibodi"
"580","3:DNA","5:Molecula"
"581","3:DNA","3:DNA"
"582","7:Prognosi","1:Antibodi"
"583","4:In-Vitro","4:In-Vitro"
"584","1:Antibodi","1:Antibodi"
"585","7:Prognosi","10:Tomogra"
"586","7:Prognosi","9:Risk-Fac"
"587","8:Receptor","8:Receptor"
"588","8:Receptor","1:Antibodi"
"589","6:Pregnanc","6:Pregnanc"
"590","6:Pregnanc","6:Pregnanc"
"591","8:Receptor","1:Antibodi"
"592","8:Receptor","4:In-Vitro"
"593","10:Tomogra","10:Tomogra"
"594","9:Risk-Fac","9:Risk-Fac"
"595","8:Receptor","4:In-Vitro"
"596","7:Prognosi","7:Prognosi"
"597","1:Antibodi","1:Antibodi"
"598","2:Carcinom","5:Molecula"
"599","5:Molecula","1:Antibodi"
"600","2:Carcinom","2:Carcinom"
"601","8:Receptor","5:Molecula"
"602","6:Pregnanc","6:Pregnanc"
"603","4:In-Vitro","4:In-Vitro"
"604","5:Molecula","5:Molecula"
"605","10:Tomogra","7:Prognosi"
"606","7:Prognosi","7:Prognosi"
"607","4:In-Vitro","8:Receptor"
"608","4:In-Vitro","4:In-Vitro"
"609","10:Tomogra","10:Tomogra"
"610","8:Receptor","5:Molecula"
"611","7:Prognosi","7:Prognosi"
"612","7:Prognosi","7:Prognosi"
"613","6:Pregnanc","6:Pregnanc"
"614","9:Risk-Fac","1:Antibodi"
"615","10:Tomogra","10:Tomogra"
"616","7:Prognosi","6:Pregnanc"
"617","3:DNA","5:Molecula"
"618","8:Receptor","9:Risk-Fac"
"619","8:Receptor","8:Receptor"
"620","1:Antibodi","1:Antibodi"
"621","5:Molecula","3:DNA"
"622","4:In-Vitro","3:DNA"
"623","2:Carcinom","2:Carcinom"
"624","2:Carcinom","7:Prognosi"
"625","5:Molecula","4:In-Vitro"
"626","6:Pregnanc","6:Pregnanc"
"627","5:Molecula","5:Molecula"
"628","8:Receptor","8:Receptor"
"629","6:Pregnanc","6:Pregnanc"
"630","9:Risk-Fac","9:Risk-Fac"
"631","7:Prognosi","7:Prognosi"
"632","4:In-Vitro","4:In-Vitro"
"633","8:Receptor","8:Receptor"
"634","6:Pregnanc","6:Pregnanc"
"635","10:Tomogra","10:Tomogra"
"636","6:Pregnanc","6:Pregnanc"
"637","4:In-Vitro","4:In-Vitro"
"638","10:Tomogra","10:Tomogra"
"639","3:DNA","4:In-Vitro"
"640","9:Risk-Fac","9:Risk-Fac"
"641","6:Pregnanc","8:Receptor"
"642","6:Pregnanc","6:Pregnanc"
"643","9:Risk-Fac","9:Risk-Fac"
"644","1:Antibodi","8:Receptor"
"645","6:Pregnanc","6:Pregnanc"
"646","7:Prognosi","10:Tomogra"
"647","4:In-Vitro","4:In-Vitro"
"648","9:Risk-Fac","9:Risk-Fac"
"649","4:In-Vitro","3:DNA"
"650","9:Risk-Fac","6:Pregnanc"
"651","7:Prognosi","2:Carcinom"
"652","4:In-Vitro","8:Receptor"
"653","7:Prognosi","1:Antibodi"
"654","3:DNA","5:Molecula"
"655","3:DNA","7:Prognosi"
"656","9:Risk-Fac","9:Risk-Fac"
"657","8:Receptor","8:Receptor"
"658","5:Molecula","1:Antibodi"
"659","3:DNA","7:Prognosi"
"660","4:In-Vitro","8:Receptor"
"661","7:Prognosi","2:Carcinom"
"662","6:Pregnanc","6:Pregnanc"
"663","6:Pregnanc","10:Tomogra"
"664","1:Antibodi","3:DNA"
"665","10:Tomogra","7:Prognosi"
"666","6:Pregnanc","6:Pregnanc"
"667","6:Pregnanc","9:Risk-Fac"
"668","7:Prognosi","1:Antibodi"
"669","8:Receptor","8:Receptor"
"670","5:Molecula","5:Molecula"
"671","8:Receptor","8:Receptor"
"672","4:In-Vitro","4:In-Vitro"
"673","2:Carcinom","2:Carcinom"
"674","5:Molecula","2:Carcinom"
"675","9:Risk-Fac","7:Prognosi"
"676","7:Prognosi","7:Prognosi"
"677","10:Tomogra","10:Tomogra"
"678","1:Antibodi","4:In-Vitro"
"679","7:Prognosi","9:Risk-Fac"
"680","5:Molecula","8:Receptor"
"681","9:Risk-Fac","9:Risk-Fac"
"682","1:Antibodi","1:Antibodi"
"683","8:Receptor","4:In-Vitro"
"684","6:Pregnanc","9:Risk-Fac"
"685","10:Tomogra","2:Carcinom"
"686","1:Antibodi","1:Antibodi"
"687","8:Receptor","4:In-Vitro"
"688","1:Antibodi","1:Antibodi"
"689","7:Prognosi","7:Prognosi"
"690","3:DNA","3:DNA"
"691","2:Carcinom","8:Receptor"
